Board.move 0 441 {'_CHECK_VALIDITY': 19, '_SET_IP': 24, '_SPILL_OR_RELOAD': 26, '_EXIT_TRACE': 52, '_DEOPT': 51}
Board.reset 72 45 {'_CHECK_VALIDITY': 4, '_SET_IP': 5, '_SPILL_OR_RELOAD': 1, '_EXIT_TRACE': 4, '_DEOPT': 8}
Board.score 184 230 {'_CHECK_VALIDITY': 16, '_SET_IP': 16, '_SPILL_OR_RELOAD': 7, '_EXIT_TRACE': 25, '_DEOPT': 30}
Board.score 210 58 {'_CHECK_VALIDITY': 4, '_SET_IP': 5, '_SPILL_OR_RELOAD': 1, '_EXIT_TRACE': 6, '_DEOPT': 7}
Board.score 284 40 {'_CHECK_VALIDITY': 3, '_SET_IP': 3, '_SPILL_OR_RELOAD': 1, '_EXIT_TRACE': 5, '_DEOPT': 6}
Board.score 306 49 {'_CHECK_VALIDITY': 3, '_SET_IP': 3, '_SPILL_OR_RELOAD': 1, '_EXIT_TRACE': 6, '_DEOPT': 6}
Board.score 312 54 {'_CHECK_VALIDITY': 2, '_SET_IP': 3, '_SPILL_OR_RELOAD': 5, '_EXIT_TRACE': 7, '_DEOPT': 6}
Board.score 366 59 {'_CHECK_VALIDITY': 4, '_SET_IP': 5, '_SPILL_OR_RELOAD': 3, '_EXIT_TRACE': 8, '_DEOPT': 8}
Board.score 388 60 {'_CHECK_VALIDITY': 5, '_SET_IP': 6, '_SPILL_OR_RELOAD': 1, '_EXIT_TRACE': 7, '_DEOPT': 8}
Board.useful 350 101 {'_CHECK_VALIDITY': 6, '_SET_IP': 7, '_SPILL_OR_RELOAD': 3, '_EXIT_TRACE': 13, '_DEOPT': 14}
Board.useful 638 398 {'_CHECK_VALIDITY': 17, '_SET_IP': 20, '_SPILL_OR_RELOAD': 8, '_EXIT_TRACE': 52, '_DEOPT': 47}
Board.useful 692 405 {'_CHECK_VALIDITY': 17, '_SET_IP': 22, '_SPILL_OR_RELOAD': 9, '_EXIT_TRACE': 53, '_DEOPT': 46}
Board.useful 758 701 {'_CHECK_VALIDITY': 34, '_SET_IP': 41, '_SPILL_OR_RELOAD': 38, '_EXIT_TRACE': 73, '_DEOPT': 78}
Board.useful_fast 114 42 {'_CHECK_VALIDITY': 3, '_SET_IP': 3, '_SPILL_OR_RELOAD': 2, '_EXIT_TRACE': 5, '_DEOPT': 7}
Board.useful_fast 128 606 {'_CHECK_VALIDITY': 32, '_SET_IP': 37, '_SPILL_OR_RELOAD': 29, '_EXIT_TRACE': 69, '_DEOPT': 75}
Board.useful_moves 116 172 {'_CHECK_VALIDITY': 12, '_SET_IP': 14, '_SPILL_OR_RELOAD': 8, '_EXIT_TRACE': 18, '_DEOPT': 23}
EmptySet.set 0 808 {'_CHECK_VALIDITY': 45, '_SET_IP': 53, '_SPILL_OR_RELOAD': 48, '_EXIT_TRACE': 86, '_DEOPT': 101}
Square.__init__ 154 133 {'_CHECK_VALIDITY': 8, '_SET_IP': 9, '_SPILL_OR_RELOAD': 8, '_EXIT_TRACE': 13, '_DEOPT': 13}
Square.find 0 55 {'_CHECK_VALIDITY': 1, '_SET_IP': 2, '_SPILL_OR_RELOAD': 1, '_EXIT_TRACE': 7, '_DEOPT': 6}
Square.find 82 52 {'_SET_IP': 1, '_SPILL_OR_RELOAD': 1, '_EXIT_TRACE': 7, '_DEOPT': 5}
Square.move 0 286 {'_CHECK_VALIDITY': 17, '_SET_IP': 19, '_SPILL_OR_RELOAD': 18, '_EXIT_TRACE': 32, '_DEOPT': 39}
Square.move 310 165 {'_CHECK_VALIDITY': 9, '_SET_IP': 10, '_SPILL_OR_RELOAD': 5, '_EXIT_TRACE': 21, '_DEOPT': 20}
Square.move 568 361 {'_CHECK_VALIDITY': 17, '_SET_IP': 20, '_SPILL_OR_RELOAD': 9, '_EXIT_TRACE': 46, '_DEOPT': 44}
Square.move 572 45 {'_CHECK_VALIDITY': 1, '_SET_IP': 2, '_SPILL_OR_RELOAD': 1, '_EXIT_TRACE': 8, '_DEOPT': 5}
