# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cpu_core/cycles/u'
# Event count (approx.): 16865198223
#
# Overhead  Command       Shared Object                            Symbol
# ........  ............  .......................................  .............................................
#
    33.73%  python-final  python-final                             [.] _PyEval_EvalFrameDefault
     3.82%  python-final  python-final                             [.] _PyFrame_ClearExceptCode
     1.91%  python-final  python-final                             [.] _PyEval_FrameClearAndPop
     1.70%  python-final  python-final                             [.] initialize_locals
     1.33%  python-final  python-final                             [.] _PyObject_Malloc
     1.31%  python-final  python-final                             [.] insertdict
     1.24%  python-final  python-final                             [.] long_bitwise
     1.08%  python-final  python-final                             [.] _PyCompactLong_Add
     0.96%  python-final  python-final                             [.] _PyThreadState_PopFrame
     0.93%  python-final  python-final                             [.] _PyObject_Free
     0.85%  python-final  python-final                             [.] _PyJIT_Entry
     0.62%  python-final  _random.cpython-316-x86_64-linux-gnu.so  [.] genrand_uint32
     0.59%  python-final  python-final                             [.] _PyEvalFramePushAndInit
     0.57%  python-final  python-final                             [.] PyNumber_InPlaceXor
     0.57%  python-final  python-final                             [.] _Py_Executors_InvalidateGlobalDependency
     0.57%  python-final  python-final                             [.] _Py_Dealloc
     0.54%  python-final  python-final                             [.] _PyCompactLong_Subtract
     0.54%  python-final  python-final                             [.] PyDict_SetItem
     0.44%  python-final  [JIT] tid 6                              [.] 0x0000751e6da1c000
     0.41%  python-final  python-final                             [.] long_dealloc
     0.39%  python-final  python-final                             [.] long_alloc
     0.36%  python-final  python-final                             [.] _Py_NewReference
     0.34%  python-final  [JIT] tid 6                              [.] 0x0000751e6da1c713
     0.34%  python-final  python-final                             [.] unicodekeys_lookup_unicode
     0.33%  python-final  [JIT] tid 6                              [.] 0x0000751e6da1c52c
     0.31%  python-final  python-final                             [.] set_lookkey
     0.28%  python-final  python-final                             [.] PyFloat_FromDouble
     0.28%  python-final  python-final                             [.] long_hash
     0.26%  python-final  python-final                             [.] set_add_entry_takeref
     0.26%  python-final  _random.cpython-316-x86_64-linux-gnu.so  [.] _random_Random_random
     0.26%  python-final  [JIT] tid 6                              [.] 0x0000751e6da1c1f6
     0.26%  python-final  python-final                             [.] PyObject_Hash
     0.23%  python-final  python-final                             [.] set_dealloc
     0.23%  python-final  python-final                             [.] _Py_dict_lookup
     0.23%  python-final  python-final                             [.] globals_watcher_callback
     0.21%  python-final  python-final                             [.] set_table_resize
     0.20%  python-final  [JIT] tid 6                              [.] 0x0000751e6da1c2d5


#
# (Cannot load tips.txt file, please install perf!)
#
