PHASE imports
COMPILE calls=0 ok=0 ns=0
PHASE warmup 5
PROFILE method=0 op=_POP_ITER count=138266
PROFILE method=0 op=_POP_TOP count=4407188
PROFILE method=0 op=_PUSH_NULL count=165943
PROFILE method=0 op=_UNARY_NOT count=78409
PROFILE method=0 op=_LIST_APPEND count=76448
PROFILE method=0 op=_STORE_GLOBAL count=34
PROFILE method=0 op=_TO_BOOL_BOOL count=405457
PROFILE method=0 op=_TO_BOOL_NONE count=57950
PROFILE method=0 op=_EXIT_TRACE count=1724165
PROFILE method=0 op=_SET_IP count=10360153
PROFILE method=0 op=_BINARY_OP count=80993
PROFILE method=0 op=_BINARY_OP_ADD_FLOAT count=55305
PROFILE method=0 op=_BINARY_OP_ADD_INT count=344697
PROFILE method=0 op=_BINARY_OP_EXTEND count=131041
PROFILE method=0 op=_BINARY_OP_MULTIPLY_INT count=55305
PROFILE method=0 op=_BINARY_OP_SUBSCR_LIST_INT count=110224
PROFILE method=0 op=_BINARY_OP_SUBTRACT_INT count=267349
PROFILE method=0 op=_CALL_BUILTIN_CLASS count=55315
PROFILE method=0 op=_CALL_BUILTIN_FAST count=55305
PROFILE method=0 op=_CALL_BUILTIN_O count=55305
PROFILE method=0 op=_CALL_LEN count=8
PROFILE method=0 op=_CALL_LIST_APPEND count=463
PROFILE method=0 op=_CALL_METHOD_DESCRIPTOR_FAST_INLINE count=7
PROFILE method=0 op=_CALL_METHOD_DESCRIPTOR_O_INLINE count=7
PROFILE method=0 op=_CALL_NON_PY_GENERAL count=10
PROFILE method=0 op=_CHECK_FUNCTION_EXACT_ARGS count=1149
PROFILE method=0 op=_CHECK_FUNCTION_VERSION count=973475
PROFILE method=0 op=_CHECK_FUNCTION_VERSION_KW count=130484
PROFILE method=0 op=_CHECK_IS_NOT_PY_CALLABLE count=5
PROFILE method=0 op=_CHECK_MANAGED_OBJECT_HAS_VALUES count=6311086
PROFILE method=0 op=_CHECK_PERIODIC count=1628382
PROFILE method=0 op=_CHECK_RECURSION_LIMIT count=55312
PROFILE method=0 op=_CHECK_RECURSION_REMAINING count=1103959
PROFILE method=0 op=_CHECK_STACK_SPACE_OPERAND count=733970
PROFILE method=0 op=_CHECK_VALIDITY count=8557669
PROFILE method=0 op=_COLD_EXIT count=610673
PROFILE method=0 op=_COMPARE_OP_FLOAT count=54967
PROFILE method=0 op=_COMPARE_OP_INT count=2121955
PROFILE method=0 op=_CONTAINS_OP_SET count=78409
PROFILE method=0 op=_COPY_1 count=577584
PROFILE method=0 op=_DEOPT count=22977
PROFILE method=0 op=_DYNAMIC_EXIT count=217145
PROFILE method=0 op=_GUARD_BINARY_OP_EXTEND count=143188
PROFILE method=0 op=_GUARD_BIT_IS_SET_POP_5 count=1384031
PROFILE method=0 op=_GUARD_BIT_IS_UNSET_POP_5 count=1579184
PROFILE method=0 op=_GUARD_BUILTINS_IDENTITY count=55318
PROFILE method=0 op=_GUARD_CALLABLE_BUILTIN_CLASS count=5
PROFILE method=0 op=_GUARD_CODE_VERSION_RETURN_VALUE count=502528
PROFILE method=0 op=_GUARD_DORV_NO_DICT count=630869
PROFILE method=0 op=_GUARD_GLOBALS_VERSION count=5
PROFILE method=0 op=_GUARD_GLOBALS_VERSION_AND_IDENTITY count=992048
PROFILE method=0 op=_GUARD_IP_RETURN_VALUE count=719673
PROFILE method=0 op=_GUARD_NOS_INT count=2668098
PROFILE method=0 op=_GUARD_NOS_LIST count=239050
PROFILE method=0 op=_GUARD_NOS_OVERFLOWED count=7
PROFILE method=0 op=_GUARD_NOT_EXHAUSTED_LIST count=1476011
PROFILE method=0 op=_GUARD_NOT_EXHAUSTED_RANGE count=77405
PROFILE method=0 op=_GUARD_TOS_ANY_SET count=78409
PROFILE method=0 op=_GUARD_TOS_EXACT_INT count=78284
PROFILE method=0 op=_GUARD_TOS_FLOAT count=110610
PROFILE method=0 op=_GUARD_TOS_INT count=1686855
PROFILE method=0 op=_GUARD_TYPE count=17950
PROFILE method=0 op=_GUARD_TYPE_VERSION count=3286878
PROFILE method=0 op=_GUARD_TYPE_VERSION_LOCKED count=189175
PROFILE method=0 op=_INIT_CALL_PY_EXACT_ARGS_0 count=133723
PROFILE method=0 op=_INIT_CALL_PY_EXACT_ARGS_1 count=535832
PROFILE method=0 op=_INIT_CALL_PY_EXACT_ARGS_2 count=64415
PROFILE method=0 op=_ITER_CHECK_LIST count=1411846
PROFILE method=0 op=_ITER_CHECK_RANGE count=77405
PROFILE method=0 op=_ITER_NEXT_LIST_TIER_TWO count=1170047
PROFILE method=0 op=_ITER_NEXT_RANGE count=76449
PROFILE method=0 op=_JUMP_TO_TOP count=783381
PROFILE method=0 op=_LOAD_ATTR_INSTANCE_VALUE count=5208275
PROFILE method=0 op=_LOAD_ATTR_MODULE count=5
PROFILE method=0 op=_LOAD_CONST_INLINE count=1324125
PROFILE method=0 op=_LOAD_CONST_INLINE_BORROW count=2097237
PROFILE method=0 op=_LOAD_FAST count=63415
PROFILE method=0 op=_LOAD_FAST_0 count=13
PROFILE method=0 op=_LOAD_FAST_4 count=78279
PROFILE method=0 op=_LOAD_FAST_6 count=69880
PROFILE method=0 op=_LOAD_FAST_BORROW count=1240073
PROFILE method=0 op=_LOAD_FAST_BORROW_0 count=3099999
PROFILE method=0 op=_LOAD_FAST_BORROW_1 count=1748063
PROFILE method=0 op=_LOAD_FAST_BORROW_2 count=2983458
PROFILE method=0 op=_LOAD_FAST_BORROW_3 count=941196
PROFILE method=0 op=_LOAD_FAST_BORROW_4 count=361104
PROFILE method=0 op=_LOAD_FAST_BORROW_5 count=126112
PROFILE method=0 op=_LOAD_FAST_BORROW_6 count=137601
PROFILE method=0 op=_LOAD_FAST_BORROW_7 count=78409
PROFILE method=0 op=_LOAD_GLOBAL_BUILTINS count=5
PROFILE method=0 op=_LOAD_GLOBAL_MODULE count=63079
PROFILE method=0 op=_LOCK_OBJECT count=630869
PROFILE method=0 op=_MAKE_HEAP_SAFE count=774151
PROFILE method=0 op=_MAKE_WARM count=2747586
PROFILE method=0 op=_POP_TOP_FLOAT count=165587
PROFILE method=0 op=_POP_TOP_INT count=3210657
PROFILE method=0 op=_POP_TOP_NOP count=10181616
PROFILE method=0 op=_POP_TOP_OPARG count=7
PROFILE method=0 op=_PUSH_FRAME count=1103959
PROFILE method=0 op=_PUSH_TAGGED_ZERO count=17950
PROFILE method=0 op=_PY_FRAME_GENERAL count=239505
PROFILE method=0 op=_PY_FRAME_KW count=130484
PROFILE method=0 op=_RETURN_VALUE count=1009507
PROFILE method=0 op=_RROT_3 count=27771
PROFILE method=0 op=_SAVE_RETURN_OFFSET count=1103959
PROFILE method=0 op=_SPILL_OR_RELOAD count=4580682
PROFILE method=0 op=_START_EXECUTOR count=1964287
PROFILE method=0 op=_STORE_ATTR_INSTANCE_VALUE count=630869
PROFILE method=0 op=_STORE_SUBSCR_LIST_INT count=128826
PROFILE method=0 op=_SWAP_2 count=1586824
PROFILE method=0 op=_SWAP_FAST count=944845
PROFILE method=0 op=_SWAP_FAST_1 count=240818
PROFILE method=0 op=_SWAP_FAST_2 count=1738899
